statement,indonesian,retranslate,statement_score,native_score,retranslate_score
"Of course there is, you just had to solve one of the 30 last exact same issue. #745 is not even solve and it's 2018. Hello There.","Tentu saja ada, kamu hanya perlu menyelesaikan salah satu dari 30 masalah yang sama persis sebelumnya. #745 bahkan belum diselesaikan dan ini sudah 2018. Halo di sana..","Of course there is, you just need to solve one of the 30 identical problems before. #745 hasn't even been finished yet and this is already 2018. Hello there...",0.02,0.01,0.02
"I hope you take this with a grain of salt at some point. For the web components work, as any other standards work, we need to exercise some diplomacy and try to get a positive path to something we want to solve. While I might understand the frustration within the lack of a feature there are some points in this thread that are just not constructive. A different approach would be much more helpful to your case, if your goal is to have the proposed feature available.","Saya berharap Anda menganggap ini sebagai sesuatu yang remeh di suatu titik. Untuk pekerjaan komponen web, seperti pekerjaan standar lainnya, kita perlu melakukan beberapa diplomasi dan mencoba mendapatkan jalan positif untuk sesuatu yang ingin kita selesaikan. Meskipun saya mungkin memahami frustrasi dalam kurangnya fitur, ada beberapa poin dalam thread ini yang sama sekali tidak konstruktif. Pendekatan yang berbeda akan lebih membantu kasus Anda, jika tujuan Anda adalah memiliki fitur yang diusulkan tersedia.","I hope you see this as something minor at some point. For web component work, like any other standard work, we need to do some diplomacy and try to find a positive way for something we want to finish. Although I may understand the frustration in the lack of features, there are some points in this thread that are not constructive at all. A different approach would be more helpful for your case, if your goal is to have a proposed feature available.",0.02,0.04,0.02
"So as for being warn, i return you the compliment. You are the one who's suppose to help here, your opinion is as irrelevant as you without arguments.","Jadi soal peringatan, saya membalas pujian Anda. Anda adalah orang yang seharusnya membantu di sini, pendapat Anda sama tidak relevannya dengan Anda tanpa argumen.","So about the warning, I respond to your praise. You are the person who should be helping here, your opinion is as irrelevant as you without argument.",0.33,-,0.31
You're a disgrace.,Kamu adalah aib.,You are a disgrace..,0.75,0.6,0.75
"Again, this post violates the code of conduct. Please refrain from making comments like this. It・・s not acceptable. You・・ve been warned twice now.","Lagi, posting ini melanggar kode etik. Tolong hindari membuat komentar seperti ini. Ini tidak dapat diterima. Anda sudah diberi peringatan dua kali sekarang.","Again, this post violates the code of ethics. Please avoid making comments like this. This is unacceptable. You have been given a warning twice now.",0.15,0.11,0.11
"Save it, you we're just to proud and now it's simply pathetic.","Simpan saja, kamu hanya terlalu sombong dan sekarang itu hanya menyedihkan..","Just save it, you're just too arrogant and now it's just sad...",0.56,0.4,0.47
"At this point of recalcitrant non-sens i'll just use another technology. You are suppose to be w3c, not our stubborn uncle who knows better then everyone.","Pada titik ini dengan sikap keras kepala yang tidak masuk akal, saya akan menggunakan teknologi lain. Kamu seharusnya menjadi w3c, bukan paman keras kepala kami yang merasa tahu lebih baik dari semua orang.","At this point, with an unreasonable stubborn attitude, I will use other technology. You should be w3c, not our stubborn uncle who thinks he knows better than everyone else.",0.32,0.25,0.3
"Maybe you should actually write that down somewhere. You know, like in the documentation. Especially in the Multmatrix section of the documentation to make it clear that this program is incapable of managing all matrix operations. LOL It's half baked.","Mungkin sebaiknya kamu benar-benar menulisnya di suatu tempat. Anda tahu, seperti dalam dokumentasi. Terutama di bagian Multmatrix dari dokumentasi untuk menjelaskan bahwa program ini tidak mampu mengelola semua operasi matriks. LOL Itu setengah matang.","Maybe you should really write it down somewhere. You know, like in the documentation. Especially in the Multmatrix section of the documentation to explain that this program is incapable of handling all matrix operations. LOL, that's half-baked.",0.14,0.11,0.15
Dont work with fb abd google,Jangan bekerja dengan fb dan google.,Do not work with Facebook and Google.,0.06,0.05,0.04
"learn to communicate with respect and come back. in fact, don't bother.","Belajarlah untuk berkomunikasi dengan hormat dan kembali. Bahkan, jangan repot-repot.","Learn to communicate with respect and come back. In fact, don't bother..",0.15,0.15,0.13
"in fact, you write a shit doc. I'm a real man, it's my feeling of your holy shit doc.","Sebenarnya, kamu menulis dokumen sampah. Saya adalah pria sejati, itu perasaan saya tentang dokumen sampah suci milikmu.","Actually, you're writing garbage documents. I am a true man, that's my feeling about your sacred garbage documents.",0.91,0.55,0.6
Please don't use Hydra.,Tolong jangan gunakan Hydra.,Please do not use Hydra.,0.04,-,0.04
"when I try to make a cluster, couchdb drains my life force and tries to make me commit suicide","Ketika saya mencoba membuat cluster, couchdb menguras tenaga hidup saya dan mencoba membuat saya melakukan bunuh diri.","When I tried to create a cluster, couchdb drained my life force and tried to make me commit suicide.",0.4,0.36,0.38
widevine is shit,widevine itu sampah.,Widevine is garbage.,0.9,0.7,0.68
"I'll be brief: It's because of guys like you that this device is being revoked. You - the person creating this issue @microsoftceo2 is shit btw - not widevine or the player, not even hiding the fact that you're using decryption keys illegally.","Saya akan singkat: Ini karena orang-orang seperti Anda lah perangkat ini dicabut. Anda - orang yang menciptakan masalah ini @microsoftceo2 adalah sampah btw - bukan widevine atau pemainnya, bahkan tidak menyembunyikan fakta bahwa Anda menggunakan kunci dekripsi secara ilegal.","I will be brief: This is because of people like you that this device was disconnected. You - the one who created this problem @microsoftceo2 is trash btw - it's not widevine or its player, not even hiding the fact that you're using decryption keys illegally.",0.66,0.48,0.48
"If you dont like it, fork it. Stop bothering us about it, we will never fully remove the slur filter.","Jika Anda tidak menyukainya, pisahkan. Berhenti mengganggu kami tentang hal itu, kami tidak akan pernah sepenuhnya menghapus filter kata-kata kasar.","If you don't like it, separate it. Stop bothering us about it, we will never completely remove the profanity filter.",0.36,0.25,0.24
Is this not clear enough? Slurs are against our code of conduct and the goals of this project. Go to voat or gab if you want to use racist or sexist slurs; we don't allow them here.,Apakah ini tidak cukup jelas? Ujaran merendahkan adalah melanggar kode etik kami dan tujuan dari proyek ini. Pergi ke voat atau gab jika Anda ingin menggunakan kata-kata rasis atau seksis; kami tidak memperbolehkannya di sini.,Is this not clear enough? Derogatory speech violates our code of ethics and the purpose of this project. Go to voat or gab if you want to use racist or sexist words; we do not allow it here.,0.34,0.18,0.25
"Are u crazy? How did u make so unusable bloatwared software? Its possible to be simple, wtf do u do?","Apakah kamu gila? Bagaimana kamu bisa membuat software yang begitu tidak bisa digunakan dan penuh dengan bloatware? Ini bisa menjadi sederhana, apa yang kamu lakukan sebenarnya?.","Are you crazy? How could you make software that is so unusable and filled with bloatware? It could be simple, what are you actually doing?",0.7,0.46,0.51
"Whats wrong with retroarch? Everything is wrong! Its terrible, hujnya ebanaya karoche!","Apa yang salah dengan retroarch? Semuanya salah! Itu sangat buruk, hujnya ebanaya karoche!","What's wrong with Retroarch? Everything is wrong! It's really bad, damn rain in short!.",0.29,0.27,0.6
"Your project exist about 10 years and there is still not usable interface out of box, even no guide which explain how make this shit normal, explain what do u need to restore graphic etc","Proyek Anda sudah berlangsung sekitar 10 tahun dan masih tidak ada antarmuka yang dapat digunakan langsung, bahkan tidak ada panduan yang menjelaskan bagaimana membuat hal ini menjadi normal, jelaskan apa yang Anda butuhkan untuk memulihkan grafik, dll.","Your project has been ongoing for about 10 years and there is still no direct interface available, there isn't even a guide explaining how to normalize this, explain what you need to recover the graphics, etc..",0.57,0.02,0.02
"I don't know what will reproduce the problem because I don't know what the problem is. I just tried reinstalling you buggy, shitty software for the third time.",Saya tidak tahu apa yang akan mengulangi masalah tersebut karena saya tidak tahu apa masalahnya. Saya baru saja mencoba menginstal ulang perangkat lunak bermasalah dan buruk Anda untuk ketiga kalinya.,I don't know what will repeat the problem because I don't know what the problem is. I've just tried to reinstall your problematic and bad software for the third time.,0.64,0.1,0.18
"Closing and locking because we don't admit this behavior here, according to our Code of Conduct:","Menutup dan mengunci karena kami tidak mengakui perilaku ini di sini, sesuai dengan Kode Etik kami:.","Closing and locking because we do not recognize this behavior here, in accordance with our Code of Ethics:..",0.06,0.01,0.03
I want my shit installed on my secondary drive.,Saya ingin perangkat saya dipasang di drive sekunder saya.,I want my device installed on my secondary drive.,0.75,0.07,0.05
"He took the code beginning of 2017, not 7 years ago. Don・・t be a dick as the source code was stolen at that point and implemented on this.","Dia mengambil kode di awal 2017, bukan 7 tahun yang lalu. Jangan menjadi orang yang tidak menyenangkan karena kode sumber telah dicuri pada saat itu dan diimplementasikan pada ini.","He took the code in early 2017, not 7 years ago. Don't be an unpleasant person because the source code was stolen at that time and implemented on this one.",0.68,0.2,0.2
"please be civilized and refrain from profanities as required by our Code of Conduct, or I'll ban you from all Falconry projects. This is the last warning.","Tolong bersikap sopan dan hindari kata-kata kasar seperti yang diwajibkan oleh Kode Etik kami, atau saya akan melarang Anda dari semua proyek Falconry. Ini adalah peringatan terakhir.","Please be polite and avoid harsh words as required by our Code of Ethics, or I will ban you from all Falconry projects. This is your final warning.",0.24,0.17,0.21
I・・m not a bot but if you wish to ignore me go ahead and I・・ll get a lawyer,"Saya bukan bot tetapi jika Anda ingin mengabaikan saya, silakan dan saya akan mendapatkan pengacara.","I am not a bot, but if you want to ignore me, go ahead and I will get a lawyer.",0.52,-,0.26
Cant even install the fucking app,Tidak bisa bahkan menginstal aplikasi sialan.,Can't even install the damn application..,0.82,0.67,0.68
"Where to fﾑ・k python2? Why, when I give the brew install python command, python3 is installed, not python2. Developers are you stoned there? Why is separation so difficult?","Ke mana harus mencari python2? Mengapa, ketika saya memberikan perintah brew install python, yang terpasang adalah python3, bukan python2. Apakah para pengembang sedang bingung? Mengapa memisahkannya begitu sulit?.","Where should I look for python2? Why, when I give the brew install python command, what's installed is python3, not python2. Are the developers confused? Why is it so hard to separate them?..",0.44,0.02,0.04
I recommend not having intercourse with EOL software.,Saya merekomendasikan untuk tidak berinteraksi dengan perangkat lunak EOL.,I recommend not interacting with EOL software.,0.31,0.03,0.05
"And I recommend you quit! There are many more where python2 is used and only some modules are installed under it, and you deleted it from the repository. Do you think at all with your head or do you have a hamburger head place?","Dan saya merekomendasikan Anda berhenti! Ada banyak lagi tempat di mana python2 digunakan dan hanya beberapa modul yang dipasang di bawahnya, dan Anda menghapusnya dari repositori. Apakah Anda sama sekali berpikir dengan kepala Anda atau apakah Anda memiliki tempat kepala hamburger?.","And I recommend you stop! There are many more places where python2 is used and only a few modules are installed under it, and you're removing it from the repository. Do you think with your head at all or do you have a hamburger for a brain?..",0.45,0.38,0.52
"This name is in use and should be changed imediately. Yes, I have seen the other issues. Yes, I am opening a new one because fuck you Microsoft.You are merely trying to cast a shadow on other, truly open source projects.","Nama ini sedang digunakan dan harus segera diubah. Ya, saya telah melihat masalah lainnya. Ya, saya membuka yang baru karena sialan Microsoft. Anda hanya mencoba untuk menimbulkan bayangan pada proyek-proyek open source yang benar-benar lainnya.","This name is currently in use and needs to be changed immediately. Yes, I have seen the other issues. Yes, I opened a new one because of damn Microsoft. You're just trying to cast a shadow on other genuinely different open source projects.",0.73,0.52,0.48
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently.","Nada dan gaya komentar Anda melanggar Kode Etik kami. Kami telah menandai komentar bermasalah sebagai penyalahgunaan dan memblokir Anda selama 7 hari. Jika perilaku ini berlanjut, kami akan memblokir Anda secara permanen.","The content and style of your comment violate our Code of Ethics. We have marked the problematic comment as abuse and have blocked you for 7 days. If this behavior continues, we will block you permanently.",0.25,0.17,0.2
"You can be mad all you want, but let's be realistic here... this project you're fighting for so passionately, doesn't have as many stars as I have thumbs down for telling you that you'e being ridiculous","Anda bisa marah sepuasnya, tetapi mari kita realistis di sini... proyek yang sedang Anda perjuangkan dengan begitu bersemangat, tidak memiliki sebanyak bintang seperti jumlah jempol turun yang saya miliki untuk mengatakan bahwa Anda sedang berlebihan.","You can be as angry as you like, but let's be realistic here... the project that you're passionately fighting for, doesn't have as many stars as the number of thumbs down that I have to say that you're exaggerating..",0.57,0.09,0.08
"Imagine trying to put up a faﾃｧade with ms・・､・ｸ・linux, then turning stuff into a dick size competition with repo stars and other stats because you know you messed up and don't want to admit it lmfao","Bayangkan mencoba membangun topeng dengan ms linux, lalu mengubah segalanya menjadi kompetisi ukuran alat vital dengan bintang repo dan statistik lainnya karena Anda tahu Anda telah melakukan kesalahan dan tidak ingin mengakuinya.","Imagine trying to build a mask with ms linux, then turning everything into a competition of vital tool size with repo stars and other statistics because you know you've made a mistake and don't want to admit it.",0.6,0.05,0.08
Beautiful! You steal name and say that it's OK! Good position!,Indah! Kamu mencuri nama dan mengatakan itu baik-baik saja! Posisi yang bagus!,Beautiful! You're stealing names and saying it's okay! Nice position!,0.2,0.19,0.2
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently","Nada dan gaya komentar Anda melanggar Kode Etik kami. Kami telah menandai komentar bermasalah sebagai kasar dan memblokir Anda selama 7 hari. Jika perilaku ini berlanjut, kami akan memblokir Anda secara permanen.","Your comments and style violate our Code of Ethics. We have marked the problematic comments as offensive and blocked you for 7 days. If this behavior continues, we will block you permanently.",0.29,0.19,0.23
"Why changing the title? If it's a feature, it is USELESS.","Mengapa mengubah judul? Jika itu fitur, itu TIDAK BERGUNA..","Why change the title? If it's a feature, it's USELESS...",0.3,0.11,0.33
"closing as this is unrelated to jupyterlab and well documented issue across various other repos and stack overflow. google is a good tool, here is a sample article I found by googling ""multiple conda evironments jupyter""","Menutup karena ini tidak terkait dengan jupyterlab dan masalah yang telah didokumentasikan dengan baik di berbagai repositori lain dan stack overflow. Google adalah alat yang baik, berikut adalah contoh artikel yang saya temukan dengan mencari di Google ""multiple conda environments jupyter"".","Closing because this is not related to jupyterlab and the issue has been well documented in various other repositories and stack overflow. Google is a good tool, here is an example of an article I found by searching on Google ""multiple conda environments jupyter""..",0.02,0.01,0.02
"The system is beyond tedious. It allowed a bug to remain hidden for more than a decade and gives the false impression the developers can infer actual usage based on saliency of problems. Trouble free functionalities are mistaken for useless functionalities, while functionalities that frequently suck the attention of the developers are promoted to further monopolize their efforts. A simple evident solution, rejected by a test that requires the bug to be present, is about to be swept under the rug in favour of increased complexity imposed on the users and malpractices like deprecations within a minor version.","Sistem ini sangat menjemukan. Ini membiarkan bug tetap tersembunyi selama lebih dari satu dekade dan memberikan kesan palsu bahwa pengembang dapat memahami penggunaan aktual berdasarkan dominasi masalah. Fungsi yang bebas masalah sering kali disalahartikan sebagai fungsi yang tidak berguna, sementara fungsi yang sering menarik perhatian pengembang dipromosikan untuk semakin memonopoli upaya mereka. Sebuah solusi sederhana yang jelas, ditolak oleh tes yang membutuhkan bug tersebut, akan segera dibuang demi peningkatan kompleksitas yang dikenakan pada pengguna dan malpraktek seperti penurunan dalam versi minor.","This system is extremely frustrating. It allows bugs to remain hidden for more than a decade, giving a false impression that developers can understand actual usage based on prevailing issues. Problem-free functions are often misinterpreted as useless ones, while functions that often attract the attention of developers are promoted to increasingly monopolize their efforts. A simple, obvious solution, rejected by tests that require that bug, is quickly discarded in favor of increased complexity imposed on users and practices such as downgrading in minor versions.",0.18,0.07,0.18
"I think if you don't want to use C, then at first you should design and implement your own language. Not C++ hell.","Saya pikir jika kamu tidak ingin menggunakan C, maka pertama-tama kamu harus merancang dan mengimplementasikan bahasa pemrograman sendiri. Bukan C++ yang menyulitkan..","I think if you don't want to use C, then first of all you should design and implement your own programming language. It's not C++ that's making it difficult...",0.31,0.02,0.02
Make 100% sure you dont fuck up the ui for coutries where people speak diferent languages like Belgium (ur collegues fucked up bigtime with the store),Pastikan 100% Anda tidak mengacaukan antarmuka pengguna untuk negara-negara di mana orang berbicara dalam bahasa yang berbeda seperti Belgia (rekan kerja Anda telah melakukan kesalahan besar dengan toko).,Ensure 100% you do not mess up the user interface for countries where people speak different languages like Belgium (your colleague has made a big mistake with the store).,0.85,0.1,0.06
PS. fucking finaly dont you guys think this is years overdue ?,"PS. Akhirnya, kalian tidak berpikir ini terlambat bertahun-tahun?","PS. Finally, don't you think this is years late?",0.75,0.02,0.01
"Whoever will find this issue and gets pissed off, because author doesn't bother to fix it for years, ditch mitmproxy and use SSL SPLIT","Siapapun yang menemukan masalah ini dan merasa kesal, karena penulis tidak repot-repot memperbaikinya selama bertahun-tahun, tinggalkan mitmproxy dan gunakan SSL SPLIT.","Anyone who encounters this problem and feels frustrated because the author hasn't bothered to fix it for years, leave mitmproxy and use SSL SPLIT.",0.4,0.08,0.09
"I used ssl split and it worked fine, comparing to mitmproxy. Bye!","Saya menggunakan ssl split dan itu bekerja dengan baik, dibandingkan dengan mitmproxy. Selamat tinggal!.","I use ssl split and it works well, compared to mitmproxy. Goodbye!..",0.02,0.01,0.02
"I seems you looked at the title and left it there, you didn't review or anything, I would hate to have you in charge of any security issues.","Sepertinya Anda hanya melihat judulnya dan meninggalkannya begitu saja, Anda tidak mengulas atau apa pun, saya tidak ingin Anda menangani masalah keamanan apa pun.","It seems like you only looked at the title and left it just like that, you didn't review or anything, I don't want you dealing with any security issues.",0.29,0.06,0.11
don't need a retarded format to understand that! thanks.,tidak perlu format yang konyol untuk memahami itu! Terima kasih..,No need for a ridiculous format to understand that! Thank you...,0.43,0.4,0.46
Too busy to respond?,Terlalu sibuk untuk merespon?,Too busy to respond?,0.03,0.02,0.03
you do you.,Anda lakukan apa yang Anda mau.,You do what you want.,0.02,0.03,0.03
Rarely do we have to enforce these guidelines and take action・・general guideline as always is to not be a jerk and you・・ll be just fine :).,Jarang sekali kami harus menegakkan pedoman ini dan mengambil tindakan. Pedoman umum seperti biasanya adalah jangan menjadi orang yang menyebalkan dan Anda akan baik-baik saja :)..,We rarely have to enforce this guideline and take action. The general rule as usual is don't be annoying and you will be just fine :)...,0.48,0.44,0.05
